request_id,text,expected_category,baseline_routing,baseline_success,baseline_latency_ms,agentic_routing,agentic_reasoning,agentic_success,agentic_latency_ms
1,Tell me about Elon Musk and whether people like him.,ner_or_sentiment,sentiment,True,162.79,sentiment,"The user request involves analyzing public opinion about Elon Musk, which aligns with the sentiment model's capability to assess emotional tone and determine whether people like him.",True,1693.54
2,Analyze this Apple customer review and find the key people mentioned.,ner_or_sentiment,ner,True,225.47,ner,"The user request is to extract key people mentioned in a customer review, which aligns perfectly with the capabilities of the 'ner' model that specializes in identifying named entities.",True,1763.82
3,What do people think about Tesla and where is it located?,ner_or_sentiment,ner,True,331.75,sentiment,"The user is asking for opinions about Tesla, which requires analyzing the emotional tone of people's thoughts. Additionally, the request includes a location aspect, which can be addressed by the senti",True,1769.56
4,Is the feedback about Google CEO Sundar Pichai positive?,ner_or_sentiment,sentiment,True,120.52,sentiment,"The user request is asking for an analysis of the emotional tone of feedback regarding Sundar Pichai, which aligns perfectly with the capabilities of the sentiment model.",True,1798.64
5,Summarize opinions about Microsoft and identify key executives.,ner_or_sentiment,sentiment,True,104.43,summarization,"The request involves summarizing opinions about Microsoft, which aligns with the summarization model's capability to condense long text into a shorter summary. Additionally, the NER model can identify",True,4583.52
6,Give me a brief overview of what customers feel about Amazon.,summarization_or_sentiment,summarization,True,2968.6,sentiment,"The user request is to understand customer feelings about Amazon, which aligns with the sentiment analysis model that evaluates emotional tone in text.",True,1673.22
7,Find out if people love or hate the new iPhone release.,ner_or_sentiment,sentiment,True,143.07,sentiment,"The user request is focused on determining the emotional tone of people's opinions about the new iPhone release, which aligns perfectly with the capabilities of the sentiment model.",True,1507.11
8,What are people saying about climate change and who are the key figures?,ner_or_sentiment,ner,True,233.73,ner,"The request involves identifying key figures related to climate change, which aligns with the named entity recognition capabilities of the 'ner' model. Additionally, sentiment analysis could be releva",True,1903.02
9,Analyze this report about Jeff Bezos and Blue Origin.,ner_or_sentiment,sentiment,True,104.01,summarization,"The user request involves analyzing a report, which suggests the need for condensing the information into a shorter summary. The summarization model is best suited for this task.",True,5125.12
10,Tell me the main points and sentiment of this AI research paper.,summarization_or_sentiment,sentiment,True,145.19,summarization,"The user is asking for the main points of the AI research paper, which aligns with the summarization model's capability to condense long text into a shorter summary. Additionally, while sentiment anal",True,5281.49
